My Account Log In
IP2Location LITE
Home
Free Databases
IP Addresses
Free Plugins
FAQs
Contact
Home United States IP Address Ranges
United States IP Address Ranges
United States has a total of 1,571,238,096 IP address assigned. Below are all IP address ranges in United States.

Data Sources:
i. You can download the complete free data in CSV format from IP2Location LITE DB1.
ii. You can also download the list in firewall format from IP2Location Firewall List.

Begin IP Address	End IP Address	Total Count
4.68.15.145	4.68.15.145	1
4.68.15.151	4.68.15.151	1
4.68.15.153	4.68.15.153	1
4.68.15.155	4.68.15.157	3
4.68.15.161	4.68.15.161	1
4.68.15.163	4.68.15.163	1
4.68.15.165	4.68.15.165	1
4.68.15.167	4.68.15.167	1
4.68.15.169	4.68.15.169	1
4.68.15.171	4.68.15.171	1
4.68.15.173	4.68.15.173	1
4.68.15.175	4.68.15.181	7
4.68.15.183	4.68.15.193	11
4.68.15.195	4.68.15.199	5
4.68.15.201	4.68.15.205	5
4.68.15.207	4.68.23.18	1,860
4.68.23.20	4.68.23.64	45
4.68.23.66	4.68.24.3	194
4.68.24.6	4.68.24.35	30
4.68.24.38	4.68.30.58	1,557
4.68.30.60	4.68.30.62	3
4.68.30.67	4.68.30.70	4
4.68.30.74	4.68.30.74	1
4.68.30.80	4.68.30.80	1
4.68.30.83	4.68.31.58	232
4.68.31.60	4.68.59.73	7,182
4.68.59.75	4.68.59.76	2
4.68.59.79	4.68.59.80	2
4.68.59.82	4.68.62.16	703
4.68.62.19	4.68.62.20	2
4.68.62.23	4.68.62.52	30
4.68.62.55	4.68.62.56	2
4.68.62.59	4.68.62.96	38
4.68.62.99	4.68.62.120	22
4.68.62.123	4.68.62.125	3
4.68.62.127	4.68.62.152	26
4.68.62.155	4.68.62.245	91
4.68.62.247	4.68.62.249	3
4.68.62.251	4.68.63.44	50
4.68.63.47	4.68.63.48	2
4.68.63.51	4.68.63.56	6
4.68.63.59	4.68.63.73	15
4.68.63.75	4.68.63.76	2
4.68.63.79	4.68.63.80	2
4.68.63.82	4.68.63.88	7
4.68.63.91	4.68.63.108	18
4.68.63.111	4.68.63.124	14
4.68.63.126	4.68.63.148	23
4.68.63.150	4.68.63.152	3
4.68.63.155	4.68.63.172	18
4.68.63.175	4.68.63.200	26
4.68.63.203	4.68.63.216	14
4.68.63.219	4.68.63.229	11
4.68.63.231	4.68.63.240	10
4.68.63.243	4.68.65.216	486
4.68.65.219	4.68.65.224	6
4.68.65.227	4.68.65.249	23
4.68.65.251	4.68.65.253	3
4.68.65.255	4.68.70.4	1,030
4.68.70.6	4.68.70.9	4
4.68.70.11	4.68.70.36	26
4.68.70.39	4.68.70.96	58
